ZONA;MUNICIPIO;NoMicro;Nome Maq;IP LAN;IP WAN
2;Santa Rita;1;ZPB002STD21;10.183.102.2;10.183.102.1
2;Santa Rita;2;ZPB002STD22;10.183.102.18;10.183.102.17
2;Lucena;3;ZPB002STD23;10.183.102.34;10.183.102.33
5;São José dos Ramos;1;ZPB005STD21;10.183.105.2;10.183.105.1
6;Salgado de São Felix;1;ZPB006STD21;10.183.106.2;10.183.106.1
6;Salgado de São Felix;2;ZPB006STD22;10.183.106.18;10.183.106.17
7;Itapororoca;1;ZPB007STD21;10.183.107.2;10.183.107.1
7;Itapororoca;2;ZPB007STD22;10.183.107.18;10.183.107.17
7;Mataraca;3;ZPB007STD23;10.183.107.34;10.183.107.33
7;Mataraca;4;ZPB007STD24;10.183.107.50;10.183.107.49
14;Dona Inês;1;ZPB014STD21;10.183.114.2;10.183.114.1
15;Serra da Raiz;1;ZPB015STD21;10.183.115.2;10.183.115.1
17;Campina Grande;1;ZPB017STD21;10.183.117.2;10.183.117.1
18;Natuba;1;ZPB018STD21;10.183.118.2;10.183.118.1
18;Santa Cecilia de Umbuzeiro;2;ZPB018STD22;10.183.118.18;10.183.118.17
21;Barra de São Miguel;1;ZPB021STD21;10.183.121.2;10.183.121.1
21;São Domingos do Cariri;2;ZPB021STD22;10.183.121.18;10.183.121.17
22;Caraúbas;1;ZPB022STD21;10.183.122.2;10.183.122.1
23;Olivedos;1;ZPB023STD21;10.183.123.2;10.183.123.1
26;Junco do Seridó;1;ZPB026STD21;10.183.126.2;10.183.126.1
29;São Sebastião do Umbuzeiro;1;ZPB029STD21;10.183.129.2;10.183.129.1
29;Camalau;2;ZPB029STD22;10.183.129.18;10.183.129.17
29;São João do Tigre;3;ZPB029STD23;10.183.129.34;10.183.129.33
30;Imaculada;1;ZPB030STD21;10.183.130.2;10.183.130.1
30;Cacimbas;2;ZPB030STD22;10.183.130.18;10.183.130.17
30;Imaculada;3;ZPB030STD23;10.183.130.34;10.183.130.33
30;Cacimbas;4;ZPB030STD24;10.183.130.50;10.183.130.49
32;Olho D Água;1;ZPB032STD21;10.183.132.2;10.183.132.1
33;Serra Grande;1;ZPB033STD21;10.183.133.2;10.183.133.1
33;São José de Caiana;2;ZPB033STD22;10.183.133.18;10.183.133.17
33;Curral Velho;3;ZPB033STD23;10.183.133.34;10.183.133.33
34;Manaira;1;ZPB034STD21;10.183.134.2;10.183.134.1
34;Juru;2;ZPB034STD22;10.183.134.18;10.183.134.17
34;Água Branca;3;ZPB034STD23;10.183.134.34;10.183.134.33
34;Manaira;4;ZPB034STD24;10.183.134.50;10.183.134.49
34;Tavares ;5;ZPB034STD25;10.183.134.66;10.183.134.65
36;Mato Grosso;1;ZPB036STD21;10.183.136.2;10.183.136.1
38;São José do Brejo Cruz;1;ZPB038STD21;10.183.138.2;10.183.138.1
40;Carrapateira;1;ZPB040STD21;10.183.140.2;10.183.140.1
42;Cajazeiras;1;ZPB042STD21;10.183.142.2;10.183.142.1
48;Casserengue;1;ZPB048STD21;10.183.148.2;10.183.148.1
49;Gado Bravo;1;ZPB049STD21;10.183.149.2;10.183.149.1
49;Aroeiras;2;ZPB049STD22;10.183.149.18;10.183.149.17
51;Vista Serrana;1;ZPB051STD21;10.183.151.2;10.183.151.1
58;São José dos Cordeiros;1;ZPB058STD21;10.183.158.2;10.183.158.1
58;Coxixola;2;ZPB058STD22;10.183.158.18;10.183.158.17
58;Parari;3;ZPB058STD23;10.183.158.34;10.183.158.33
62;Alcantil;1;ZPB062STD21;10.183.162.2;10.183.162.1
62;Barra de Santana;2;ZPB062STD22;10.183.162.18;10.183.162.17
62;Riacho de Santo Antônio;3;ZPB062STD23;10.183.162.34;10.183.162.33
62;Barra de Santana;4;ZPB062STD24;10.183.162.50;10.183.162.49
63;Lastro;1;ZPB063STD21;10.183.163.2;10.183.163.1
63;Santa Cruz;2;ZPB063STD22;10.183.163.18;10.183.163.17
63;Vieiropolis;3;ZPB063STD23;10.183.163.34;10.183.163.33
63;São José da Lagoa Tapada;4;ZPB063STD24;10.183.163.50;10.183.163.49
63;São Francisco;5;ZPB063STD25;10.183.163.66;10.183.163.65
65;Passagem;1;ZPB065STD21;10.183.165.2;10.183.165.1
65;Salgadinho;2;ZPB065STD22;10.183.165.18;10.183.165.17
65;Areia de Baraúnas;3;ZPB065STD23;10.183.165.34;10.183.165.33
72;Boa Vista;1;ZPB072STD21;10.183.172.2;10.183.172.1
73;Pitimbu;1;ZPB073STD21;10.183.173.2;10.183.173.1
