ZONA;MUNICIPIO;NoMicro;Nome Maq;IP LAN;IP WAN
8;Ingá;1;ZPB008STD21;10.183.90.201;10.183.90.70
8;Itatuba;2;ZPB008STD22;10.183.92.202;10.183.92.70
8;Riachão do Bacamarte;3;ZPB008STD23;10.183.93.203;10.183.93.70
8;Serra Redonda;4;ZPB008STD24;10.183.91.204;10.183.91.70
13;Matinhas;1;ZPB013STD21;10.183.97.201;10.183.97.70
13;São Sebastião de Lagoa de Roça;2;ZPB013STD22;10.183.98.202;10.183.98.70
18;Natuba;1;ZPB018STD21;10.183.102.201;10.183.102.70
18;Natuba;2;ZPB018STD22;10.183.103.202;10.183.103.70
18;Santa Cecilia de Umbuzeiro;3;ZPB018STD23;10.183.104.203;10.183.104.70
21;Barra de São Miguel;1;ZPB021STD21;10.183.108.201;10.183.108.70
21;São Domingos do Cariri;2;ZPB021STD22;10.183.107.202;10.183.107.70
23;Cubati;1;ZPB023STD21;10.183.114.201;10.183.114.70
23;Olivedos;2;ZPB023STD22;10.183.112.202;10.183.112.70
23;São Vicente do Seridó;3;ZPB023STD23;10.183.113.203;10.183.113.70
49;Aroeiras;1;ZPB049STD21;10.183.170.201;10.183.170.70
49;Gado Bravo;2;ZPB049STD22;10.183.169.202;10.183.169.70
56;Santo André;1;ZPB056STD21;10.183.176.201;10.183.176.70
56;Tenorio;2;ZPB056STD22;10.183.175.202;10.183.175.70
59;Fagundes;1;ZPB059STD21;10.183.182.201;10.183.182.70
62;Alcantil;1;ZPB062STD21;10.183.187.201;10.183.187.70
62;Barra de Santana;2;ZPB062STD22;10.183.186.202;10.183.186.70
62;Barra de Santana;3;ZPB062STD23;10.183.183.203;10.183.183.70
62;Caturite;4;ZPB062STD24;10.183.184.204;10.183.184.70
62;Riacho de Santo Antônio;5;ZPB062STD25;10.183.185.205;10.183.185.70
67;Algodão de Jandaira;1;ZPB067STD21;10.183.217.201;10.183.217.70
71;Lagoa Seca;1;ZPB071STD21;10.183.224.201;10.183.224.70
72;Campina Grande;1;ZPB072STD21;10.183.226.201;10.183.226.70
22;Caraúbas;1;ZPB022STD21;10.183.111.201;10.183.111.70
22;Caraúbas;2;ZPB022STD22;10.183.109.202;10.183.109.70
22;Gurjão;3;ZPB022STD23;10.183.110.203;10.183.110.70
29;Camalau;1;ZPB029STD21;10.183.118.201;10.183.118.70
29;São João do Tigre;2;ZPB029STD22;10.183.119.202;10.183.119.70
29;São Sebastião do Umbuzeiro;3;ZPB029STD23;10.183.120.203;10.183.120.70
43;Amparo;1;ZPB043STD21;10.183.165.201;10.183.165.70
43;Congo;2;ZPB043STD22;10.183.166.202;10.183.166.70
58;Coxixola;1;ZPB058STD21;10.183.180.201;10.183.180.70
58;Parari;2;ZPB058STD22;10.183.181.202;10.183.181.70
58;São José dos Cordeiros;3;ZPB058STD23;10.183.179.203;10.183.179.70
72;Boa Vista;1;ZPB072STD21;10.183.225.201;10.183.225.70
9;Juarez Tavora;1;ZPB009STD21;10.183.94.201;10.183.94.70
10;Araçagi;1;ZPB010STD21;10.183.95.201;10.183.95.70
12;Arara;1;ZPB012STD21;10.183.96.201;10.183.96.70
14;Borborema;1;ZPB014STD21;10.183.99.201;10.183.99.70
14;Dona Inês;2;ZPB014STD22;10.183.100.202;10.183.100.70
15;Serra da Raiz;1;ZPB015STD21;10.183.101.201;10.183.101.70
20;Cacimba de Dentro;1;ZPB020STD21;10.183.106.201;10.183.106.70
20;Campo de Santana;2;ZPB020STD22;10.183.105.202;10.183.105.70
45;Cuitegi;1;ZPB045STD21;10.183.167.201;10.183.167.70
48;Casserengue;1;ZPB048STD21;10.183.168.201;10.183.168.70
1;João Pessoa;1;ZPB001STD21;10.183.78.201;10.183.78.70
1;João Pessoa;2;ZPB001STD22;10.183.79.202;10.183.79.70
64;João Pessoa;1;ZPB064STD21;10.183.201.201;10.183.201.70
64;João Pessoa;2;ZPB064STD22;10.183.197.202;10.183.197.70
64;João Pessoa;3;ZPB064STD23;10.183.202.203;10.183.202.70
